imię,nazwisko,ulica,numer_domu,miasto,numer_telefonu,wiek
Rafał,Klucznik,Konarskiego,94,Będzin,+48 504 307 537,59
Mikołaj,Wawrzkiewicz,Daszyńskiego,82,Czeladź,+48 669 870 943,57
Gabriel,Kleinschmidt,Kaszubska,86,Kluczbork,668 854 287,26
Borys,Bartuś,Słoneczna,159,Kraśnik,793 982 808,21
Blanka,Garbaciak,Graniczna,37,Police,720 986 118,37
Krystian,Wikło,Malinowa,109,Jarosław,+48 886 035 136,55
Sebastian,Mrotek,Wiatraczna,90,Śrem,782 840 679,66
Norbert,Bździuch,Wąska,8,Włocławek,+48 780 276 042,43
Aurelia,Soroko,Mostowa,5,Brzeg,+48 32 528 37 84,30
Roksana,Męcik,Orzeszkowej,131,Łuków,+48 699 720 580,79
Ewa,Lampart,Kossaka,123,Poznań,790 816 268,69
Tymon,Cygal,Piłsudskiego,79,Skierniewice,32 109 35 61,34
Adrian,Ellwart,Tartaczna,114,Sochaczew,+48 784 159 371,30
Marianna,Bodek,Strumykowa,42,Gdańsk,509 795 976,71
Nela,Cisoń,Gdańska,46,Kraśnik,+48 32 599 99 74,72
Dagmara,Wochnik,Podmiejska,40,Biłgoraj,+48 888 728 816,24
Damian,Janasik,Fabryczna,14,Dąbrowa Górnicza,+48 507 088 023,49
Rozalia,Hołysz,Lawendowa,149,Środa Wielkopolska,32 697 80 60,76
Daniel,Plaskota,Żytnia,159,Tarnobrzeg,784 970 467,72
Józef,Zach,Glówna,23,Knurów,+48 783 650 822,28
Anita,Milcarz,Starowiejska,156,Pruszcz Gdański,+48 600 426 896,35
Marcin,Szuta,Słowicza,129,Wągrowiec,+48 572 496 044,44
Fryderyk,Zbrzeźniak,Wiklinowa,89,Luboń,+48 515 170 293,54
Nikodem,Woszczyna,Poniatowskiego,53,Dębica,535 772 602,40
Urszula,Nickel,Miodowa,96,Białogard,889 153 367,27
Olgierd,Jodko,Dolna,16,Świętochłowice,699 757 869,24
Arkadiusz,Kral,Słonecznikowa,101,Goleniów,+48 601 090 057,52
Kornel,Trojanowicz,Gajowa,81,Zakopane,+48 884 540 428,60
Oliwier,Pietrus,Jaskółcza,18,Skierniewice,32 507 67 79,76
Maurycy,Bogumił,Bema,159,Tczew,+48 531 476 991,18
Tobiasz,Szmaj,Żwirowa,150,Piotrków Trybunalski,571 622 228,77
Liwia,Kus,Sarnia,143,Nysa,881 084 882,73
